department,NACE,workforce
15,46.51,4.5
15,46.71,4.5
15,46.73,4.5
15,46.77,4.5
15,47.11,4.5
15,47.11,4.5
15,47.21,4.5
15,47.42,4.5
15,47.52,4.5
15,47.72,4.5
15,47.74,4.5
15,47.75,4.5
15,47.77,4.5
15,47.78,4.5
15,47.78,4.5
15,47.81,4.5
15,52.10,4.5
15,52.29,4.5
15,55.20,4.5
15,55.90,4.5
15,56.29,4.5
15,58.13,4.5
15,58.14,4.5
15,59.14,4.5
15,64.20,4.5
15,64.30,4.5
15,66.22,4.5
15,66.30,4.5
15,71.12,4.5
15,73.11,4.5
15,73.12,4.5
15,80.20,4.5
15,82.11,4.5
15,85.53,4.5
15,86.23,4.5
15,86.90,4.5
15,87.20,4.5
15,88.10,4.5
15,90.01,4.5
15,94.12,4.5
15,94.91,4.5
15,96.01,4.5
16,01.13,4.5
16,01.43,4.5
16,01.45,4.5
16,01.49,4.5
16,01.62,4.5
16,10.61,4.5
16,10.71,4.5
16,10.82,4.5
16,11.07,4.5
16,13.92,4.5
16,15.12,4.5
16,20.16,4.5
16,20.20,4.5
16,23.61,4.5
16,24.20,4.5
16,26.51,4.5
16,28.13,4.5
16,28.93,4.5
16,28.94,4.5
16,32.12,4.5
16,32.40,4.5
16,32.50,4.5
16,33.11,4.5
16,35.12,4.5
16,38.22,4.5
16,39.00,4.5
16,41.10,4.5
16,42.12,4.5
16,42.91,4.5
16,43.33,4.5
16,43.99,4.5
16,46.17,4.5
16,46.19,4.5
16,46.24,4.5
16,46.32,4.5
16,46.38,4.5
16,46.43,4.5
16,46.52,4.5
16,46.77,4.5
16,47.11,4.5
16,47.19,4.5
16,47.26,4.5
16,47.29,4.5
16,47.30,4.5
16,47.74,4.5
16,47.78,4.5
16,47.79,4.5
16,49.41,4.5
16,55.90,4.5
16,56.21,4.5
16,59.14,4.5
16,61.20,4.5
16,64.99,4.5
16,66.19,4.5
16,71.11,4.5
16,71.12,4.5
16,74.10,4.5
16,74.90,4.5
16,75.00,4.5
16,77.29,4.5
16,81.22,4.5
16,82.11,4.5
16,82.30,4.5
16,85.51,4.5
16,86.22,4.5
16,86.23,4.5
16,90.02,4.5
16,91.03,4.5
16,94.20,4.5
16,96.01,4.5
17,01.15,4.5
17,01.49,4.5
17,08.11,4.5
17,08.92,4.5
17,10.13,4.5
17,10.61,4.5
17,10.71,4.5
17,10.91,4.5
17,13.94,4.5
17,14.19,4.5
17,17.29,4.5
17,20.16,4.5
17,22.29,4.5
17,23.70,4.5
17,25.62,4.5
17,25.71,4.5
17,25.73,4.5
17,26.51,4.5
17,26.51,4.5
17,28.25,4.5
17,28.99,4.5
17,32.30,4.5
17,33.19,4.5
