"annee","departement","naf","taille","nombre",
2018,"01","46.19B","11",1,"46"
2018,"01","46.21Z","11",2,"46"
2018,"01","46.31Z","11",3,"46"
2018,"01","46.33Z","11",1,"46"
2018,"01","46.34Z","11",3,"46"
2018,"01","46.39B","11",2,"46"
2018,"01","46.42Z","11",1,"46"
2018,"01","46.43Z","11",3,"46"
2018,"01","46.44Z","11",1,"46"
2018,"01","46.45Z","11",2,"46"
2018,"01","46.46Z","11",3,"46"
2018,"01","46.49Z","11",3,"46"
2018,"01","46.51Z","11",3,"46"
2018,"01","46.61Z","11",5,"46"
2018,"01","46.62Z","11",1,"46"
2018,"01","46.63Z","11",2,"46"
2018,"01","46.69A","11",7,"46"
2018,"01","46.69B","11",15,"46"
2018,"01","46.69C","11",1,"46"
2018,"01","46.71Z","11",1,"46"
2018,"01","46.72Z","11",5,"46"
2018,"01","46.73A","11",18,"46"
2018,"01","46.73B","11",2,"46"
2018,"01","46.74A","11",4,"46"
2018,"01","46.74B","11",2,"46"
2018,"01","46.75Z","11",6,"46"
2018,"01","46.76Z","11",3,"46"
2018,"01","46.77Z","11",1,"46"
2018,"01","46.90Z","11",7,"46"
2018,"01","47.11B","11",2,"47"
2018,"01","47.11D","11",19,"47"
2018,"01","47.19B","11",3,"47"
2018,"01","47.22Z","11",11,"47"
2018,"01","47.24Z","11",2,"47"
2018,"01","47.29Z","11",6,"47"
2018,"01","47.30Z","11",2,"47"
2018,"01","47.42Z","11",5,"47"
2018,"01","47.43Z","11",1,"47"
2018,"01","47.52A","11",1,"47"
2018,"01","47.52B","11",8,"47"
2018,"01","47.59A","11",5,"47"
2018,"01","47.59B","11",4,"47"
2018,"01","47.61Z","11",1,"47"
2018,"01","47.62Z","11",3,"47"
2018,"01","47.64Z","11",3,"47"
2018,"01","47.71Z","11",11,"47"
2018,"01","47.72A","11",1,"47"
2018,"01","47.73Z","11",18,"47"
2018,"01","47.74Z","11",1,"47"
2018,"01","47.75Z","11",1,"47"
2018,"01","47.76Z","11",6,"47"
2018,"01","47.77Z","11",2,"47"
2018,"01","47.78A","11",6,"47"
2018,"01","47.78C","11",2,"47"
2018,"01","47.81Z","11",1,"47"
2018,"01","47.91B","11",2,"47"
2018,"01","47.99A","11",3,"47"
2018,"01","47.99B","11",1,"47"
2018,"01","49.10Z","11",2,"49"
2018,"01","49.31Z","11",2,"49"
2018,"01","49.32Z","11",4,"49"
2018,"01","49.39A","11",1,"49"
2018,"01","49.39B","11",1,"49"
2018,"01","49.41A","11",18,"49"
2018,"01","49.41B","11",13,"49"
2018,"01","49.41C","11",2,"49"
2018,"01","49.42Z","11",2,"49"
2018,"01","52.10A","11",1,"52"
2018,"01","52.10B","11",4,"52"
2018,"01","52.21Z","11",7,"52"
2018,"01","52.24B","11",2,"52"
2018,"01","52.29A","11",5,"52"
2018,"01","52.29B","11",4,"52"
2018,"01","53.10Z","11",15,"53"
2018,"01","53.20Z","11",2,"53"
2018,"01","55.10Z","11",23,"55"
2018,"01","55.20Z","11",2,"55"
2018,"01","55.30Z","11",1,"55"
2018,"01","55.90Z","11",2,"55"
2018,"01","56.10A","11",47,"56"
2018,"01","56.10B","11",1,"56"
2018,"01","56.10C","11",6,"56"
2018,"01","56.21Z","11",1,"56"
2018,"01","56.29B","11",7,"56"
2018,"01","56.30Z","11",2,"56"
2018,"01","58.11Z","11",1,"58"
2018,"01","61.10Z","11",1,"61"
2018,"01","61.90Z","11",2,"61"
2018,"01","62.01Z","11",2,"62"
2018,"01","62.02A","11",5,"62"
2018,"01","63.11Z","11",1,"63"
2018,"01","64.11Z","11",1,"64"
2018,"01","64.19Z","11",23,"64"
2018,"01","64.20Z","11",20,"64"
2018,"01","64.30Z","11",2,"64"
2018,"01","65.12Z","11",4,"65"
2018,"01","66.21Z","11",1,"66"
2018,"01","66.22Z","11",6,"66"
2018,"01","66.30Z","11",1,"66"
2018,"01","68.20A","11",1,"68"
2018,"01","68.20B","11",4,"68"
2018,"01","68.31Z","11",5,"68"
2018,"01","68.32A","11",6,"68"
2018,"01","69.10Z","11",24,"69"
2018,"01","69.20Z","11",22,"69"
2018,"01","70.10Z","11",7,"70"
2018,"01","70.22Z","11",11,"70"
2018,"01","71.11Z","11",4,"71"
2018,"01","71.12A","11",4,"71"
2018,"01","71.12B","11",18,"71"
2018,"01","71.20B","11",5,"71"
2018,"01","72.11Z","11",1,"72"
2018,"01","73.11Z","11",2,"73"
2018,"01","73.12Z","11",2,"73"
2018,"01","73.20Z","11",2,"73"
2018,"01","74.10Z","11",1,"74"
2018,"01","74.90B","11",2,"74"
2018,"01","75.00Z","11",6,"75"
2018,"01","77.11A","11",3,"77"
2018,"01","77.12Z","11",2,"77"
2018,"01","77.29Z","11",3,"77"
2018,"01","77.32Z","11",3,"77"
2018,"01","78.10Z","11",1,"78"
2018,"01","78.20Z","11",3,"78"
2018,"01","78.30Z","11",6,"78"
2018,"01","79.11Z","11",1,"79"
2018,"01","79.90Z","11",3,"79"
2018,"01","80.10Z","11",4,"80"
