,src,dest,weight
2496,01.23,01.26,0.8007539919959907
2528,01.23,08.93,0.7632781675087639
2536,01.23,10.39,0.8286766359005038
2762,01.24,01.13,0.8411829609649144
2767,01.24,01.21,0.8390906130094947
2771,01.24,01.25,0.7873068779845458
2772,01.24,01.26,0.7513746694996162
2781,01.24,01.45,0.7597534197872835
2812,01.24,10.39,0.7883763943392519
2816,01.24,10.52,0.7600623892049765
2832,01.24,11.02,0.7822691215949169
3038,01.25,01.13,0.8882338434474041
3042,01.25,01.19,0.9633474667276856
3044,01.25,01.22,0.7659415764251915
3045,01.25,01.23,0.7661901783327286
3046,01.25,01.24,0.7873068779845458
3062,01.25,02.10,0.9688820104853227
3087,01.25,10.32,0.753690871308941
3088,01.25,10.39,0.7993842143796699
3205,01.25,24.41,0.7781988294302158
3314,01.26,01.13,0.8609527822500963
3316,01.26,01.15,0.803350664196357
3320,01.26,01.22,0.8498321979603611
3321,01.26,01.23,0.8007539919959907
3322,01.26,01.24,0.7513746694996162
3328,01.26,01.30,0.778028619515482
3356,01.26,08.93,0.7742609010409827
3363,01.26,10.32,0.8138550326170151
3364,01.26,10.39,0.8815701863385028
3368,01.26,10.52,0.754011317092896
3369,01.26,10.61,0.7783376972951239
3371,01.26,10.71,0.8389758647398227
3372,01.26,10.72,0.8389758647398227
3374,01.26,10.81,0.7684864396083155
3377,01.26,10.84,0.7844433193659538
3387,01.26,11.05,0.7577000276451658
3389,01.26,11.07,0.7855368281201713
3390,01.26,12.00,0.8155917521136553
3401,01.26,14.12,0.814247108746876
3402,01.26,14.13,0.7929330779847326
3403,01.26,14.14,0.8091697945170532
3407,01.26,14.39,0.783152505659622
3419,01.26,17.21,0.8150820987353591
3448,01.26,22.22,0.8310125106264077
3464,01.26,23.51,0.7928845146397724
3465,01.26,23.52,0.7613531562462215
3592,01.27,01.15,0.7817611486685472
3596,01.27,01.22,0.8109881888652499
3602,01.27,01.28,0.7808300828735197
3616,01.27,02.30,0.784955045449949
3652,01.27,10.83,0.9942741894026073
3666,01.27,12.00,0.7505069180203292
3757,01.27,24.41,0.7637194570881157
3877,01.28,01.27,0.7808300828735197
3893,01.28,03.11,0.7587819528800956
3894,01.28,03.12,0.7587819528800956
3913,01.28,10.20,0.7769058433386199
3928,01.28,10.83,0.7816513354351187
3929,01.28,10.84,0.809860931979357
4168,01.29,02.30,0.8942182133528911
4418,01.30,01.13,0.8005955873854543
4428,01.30,01.26,0.778028619515482
4442,01.30,02.10,0.7516883917233697
4472,01.30,10.52,0.7600401711819519
4710,01.41,01.42,0.99921767262561
4716,01.41,01.49,0.7775590727814595
4717,01.41,01.50,0.8210237160422726
4719,01.41,02.20,0.7661637208202893
4740,01.41,10.13,0.8345671736604593
4747,01.41,10.51,0.7718788674809556
4749,01.41,10.61,0.7574071172889771
4751,01.41,10.71,0.7570539924566324
4752,01.41,10.72,0.7570539924566324
4754,01.41,10.81,0.7506536819323455
4759,01.41,10.86,0.7737698159289175
4767,01.41,11.05,0.8010414423127634
4769,01.41,11.07,0.759476172327039
4791,01.41,16.10,0.7771997040468643
4792,01.41,16.21,0.7980558960526376
4793,01.41,16.22,0.7640915248048004
4794,01.41,16.23,0.7721471511087761
4828,01.41,22.22,0.7560314182002897
4846,01.41,23.61,0.7615453247542073
4869,01.41,25.11,0.754171598256924
4879,01.41,25.92,0.7562457192347544
4949,01.41,35.11,0.8002076902878634
4985,01.42,01.41,0.99921767262561
4992,01.42,01.49,0.7792281713984106
4993,01.42,01.50,0.8225434660620452
4995,01.42,02.20,0.7648641772042
5016,01.42,10.13,0.8335724155811433
5023,01.42,10.51,0.7716175533312473
5025,01.42,10.61,0.7588988034777489
5027,01.42,10.71,0.7572940084615636
5028,01.42,10.72,0.7572940084615636
5030,01.42,10.81,0.752717032378316
5035,01.42,10.86,0.7738017749863167
5043,01.42,11.05,0.8017534401973099
5045,01.42,11.07,0.7608161839550666
5067,01.42,16.10,0.7754621766755752
5068,01.42,16.21,0.7938523115211218
5069,01.42,16.22,0.7610838691156249
5070,01.42,16.23,0.7678852237085213
5104,01.42,22.22,0.7515483332548656
5122,01.42,23.61,0.7571679915690454
5155,01.42,25.92,0.7551241097091264
5225,01.42,35.11,0.8000756770614881
5290,01.43,10.11,0.8189246771456887
5299,01.43,10.51,0.754990605148611
5371,01.43,20.52,0.7607535117217762
